Changed database context to 'Cash'.
SECTION 0 - DATABASE FILES
database_name|logical_name|type_desc|physical_name|size_mb|used_mb|free_mb
-------------|------------|---------|-------------|-------|-------|-------
Cash|SmallAccount_log|LOG|F:\DataBase\Cash\Byte-20260519070006-(2a695a3b-e277-44fa-9411-64987baca0b8)-Full\Cash_0.ldf|4848.25|12.77|4835.48
Cash|SmallAccount_dat|ROWS|F:\DataBase\Cash\Byte-20260519070006-(2a695a3b-e277-44fa-9411-64987baca0b8)-Full\Cash.mdf|36957.25|33760.19|3197.06
SECTION 1 - TABLE SIZE TOP 30
schema_name|table_name|row_count|data_mb|index_mb|lob_or_other_mb|used_mb|unused_mb|reserved_mb|index_to_data_ratio
-----------|----------|---------|-------|--------|---------------|-------|---------|-----------|-------------------
dbo|DOUBLE_ENTREY_VOUCHERS|14505894|4662.00|8954.05|10.50|13626.55|41.22|13667.77|1.92
dbo|Transactions|3768771|3329.63|3642.48|14.94|6987.04|32.27|7019.31|1.09
dbo|Transaction_Details|6097242|3745.09|2061.27|26.96|5833.31|10.03|5843.34|.55
dbo|Notes|4073331|3714.48|560.36|11.16|4285.99|16.13|4302.13|.15
dbo|LogFile|2022282|365.84|11.58|435.00|812.41|2.82|815.23|.03
dbo|TblCusCsh|299484|221.04|515.93|.81|737.78|1.04|738.82|2.33
dbo|CriticalRecoverySnapshotRow|374730|487.38|20.09|221.55|729.02|.30|729.31|.04
dbo|TransactionValueAdded|1239387|82.62|27.05|.37|110.04|3.04|113.08|.33
dbo|POS_SaveAttemptLog|183939|58.84|32.16|.21|91.21|1.10|92.31|.55
dbo|CriticalRecoveryArchive_DOUBLE_ENTREY_VOUCHERS|193684|61.63|.00|.02|61.64|.06|61.70|.00
dbo|TBLClosePos|53683|16.66|25.97|.48|43.11|.48|43.59|1.56
dbo|Subject_doc|278726|37.31|.00|.52|37.84|3.55|41.39|.00
dbo|TblGroupItemProductLineUsersset|277382|32.59|.00|.18|32.77|3.66|36.44|.00
dbo|CriticalRecoveryArchive_Transactions|40461|35.13|.00|.02|35.15|.12|35.27|.00
dbo|POS_SystemErrorLog|14358|33.05|.52|.18|33.74|.23|33.98|.02
dbo|POS_SaveAllocationStageLog|82452|22.03|11.25|.14|33.42|.22|33.64|.51
dbo|CriticalRecoveryArchive_Transaction_Details|40467|17.57|.00|.02|17.59|.05|17.64|.00
dbo|ScreenJuncUser|69932|5.14|8.80|.05|13.99|1.58|15.57|1.71
dbo|ACCOUNTS|19132|4.89|3.23|.13|8.24|1.64|9.88|.66
dbo|emp_salary|3307|2.27|4.12|.05|6.43|.23|6.66|1.82
dbo|edictionary|73464|6.01|.00|.05|6.05|.01|6.06|.00
dbo|Transactions_Restore|5610|4.88|.00|.11|4.98|.11|5.09|.00
dbo|ExpensesDetails|15539|3.81|.00|.44|4.25|.12|4.37|.00
dbo|TblSettsReqLimKDet|21842|3.68|.00|.41|4.09|-.19|3.90|.00
dbo|TblSalesPayment|33826|1.79|.99|.06|2.84|.50|3.34|.55
dbo|Transaction_Details_Restore|6078|2.67|.00|.11|2.78|.05|2.83|.00
dbo|POS_ImportBatchRow|6424|1.23|1.30|.03|2.57|.19|2.76|1.06
dbo|POS_SaveIdempotency|7997|1.80|.89|.03|2.72|.01|2.73|.50
dbo|sanad_numbering|9396|1.46|.82|.40|2.68|.04|2.72|.56
dbo|notes_all|4056|1.74|.06|.48|2.28|-.19|2.09|.04
SECTION 2 - INDEX SIZE AND USAGE TOP 100
schema_name|table_name|index_name|type_desc|used_mb|used_pages|row_count|user_seeks|user_scans|user_lookups|user_updates|is_unused_read|is_duplicate_signature|key_columns|include_columns
-----------|----------|----------|---------|-------|----------|---------|----------|----------|------------|------------|--------------|----------------------|-----------|---------------
dbo|DOUBLE_ENTREY_VOUCHERS|PK_DOUBLE_ENTREY_VOUCHERS|CLUSTERED|4672.50|598080|14505894|0|0|0|0|1|0|Double_Entry_Vouchers_ID,DEV_ID_Line_No|NULL
dbo|Transaction_Details|IX_Transaction_Details|CLUSTERED|3772.05|482822|6097242|0|0|0|0|1|0|ItemSerial|NULL
dbo|Notes|PK_Notes|CLUSTERED|3725.63|476881|4073331|0|0|0|0|1|0|NoteID|NULL
dbo|Transactions|PK_Transactions|CLUSTERED|3344.56|428104|3768771|0|0|0|0|1|0|Transaction_ID|NULL
dbo|DOUBLE_ENTREY_VOUCHERS|<IndexSearchEntry, sysname,>|NONCLUSTERED|2273.55|291015|14505894|0|0|0|0|1|0|branch_id|Account_Code,Value,Credit_Or_Debit,Double_Entry_Vouchers_Description,RecordDate,Notes_ID,ReceiptID,OperaID,Transaction_ID,UserID,Posted,PostedDate,PostedUserID,Account_Interval_ID,currency,valuee,rate,Double_Entry_Vouchers_Descriptione,DEV_ID_Line_No1,note
dbo|DOUBLE_ENTREY_VOUCHERS|<ccIndex, sysname,>|NONCLUSTERED|1832.53|234564|14505894|0|0|0|0|1|0|Account_Code,Posted|Double_Entry_Vouchers_ID,DEV_ID_Line_No,Value,Credit_Or_Debit,Double_Entry_Vouchers_Description,RecordDate,Notes_ID,ReceiptID,OperaID,Transaction_ID,UserID,PostedDate,PostedUserID,Account_Interval_ID,currency,valuee,rate,Double_Entry_Vouchers_Descriptione,
dbo|DOUBLE_ENTREY_VOUCHERS|IX_DOUBLE_ENTREY_VOUCHERS_Credit_Or_Debit_notes_all_hideline|NONCLUSTERED|1760.41|225333|14505894|0|0|0|0|1|0|Credit_Or_Debit,notes_all,hideline|Double_Entry_Vouchers_ID,DEV_ID_Line_No,Account_Code,Value,Double_Entry_Vouchers_Description,Notes_ID,Account_Interval_ID,DEV_ID_Line_No1,opr_fullcode,FixedAssetId,branch_id,Carid,Departementid,Billno,projectid,operid,pandid,Vat,Vatyo,FlgVat,CurrRow,Suppli
dbo|LogFile|PK__LogFile__37DCB2AB|CLUSTERED|800.84|102507|2022282|0|0|0|0|1|0|OprID|NULL
dbo|CriticalRecoverySnapshotRow|PK_CriticalRecoverySnapshotRow|CLUSTERED|708.93|90743|374730|0|0|0|0|1|0|SnapshotRowId|NULL
dbo|DOUBLE_ENTREY_VOUCHERS|IX_DEV_RecordDate|NONCLUSTERED|612.51|78401|7252947|0|0|0|0|1|0|RecordDate,branch_id,Credit_Or_Debit,Account_Code|Value,Posted
dbo|DOUBLE_ENTREY_VOUCHERS|<IndexFast, sysname,>|NONCLUSTERED|591.17|75670|7252947|0|0|0|0|1|0|Account_Code,Credit_Or_Debit,Posted,branch_id,RecordDate|Value
dbo|DOUBLE_ENTREY_VOUCHERS|IDX_DOUBLE_ENTREY_VOUCHERS_Account_Credit_Date|NONCLUSTERED|448.06|57352|7252947|0|0|0|0|1|0|Account_Code,Credit_Or_Debit,RecordDate|NULL
dbo|Transaction_Details|IX_Transaction_Details_TransactionID_ID|NONCLUSTERED|356.96|45691|2032414|0|0|0|0|1|0|Transaction_ID,ID|Item_ID,ItemCase,ItemSerial,ItemDiscountType,ItemDiscount,guaranteeTime,Remarks,ColorID,ItemSize,UnitId,ShowQty,showPrice,order_no,LineShahn,OrderArrivalDate,ClassId,ExpiryDate,LotNO,NoCount,Vat,Vatyo,TypeVAT,SalesValue,UnitPrice,Sequence,CustId
