"DatabaseName","SchemaName","TableName","PKName","ColumnName","key_ordinal"
"RSMDB","dbo","AccountMoveLog","PK__AccountM__5E548648124E9049","LogId","1"
"RSMDB","dbo","ACCOUNTS","PK_ACCOUNTS","Account_ID","1"
"RSMDB","dbo","AccountSetting","PK__AccountSetting__0B15C483","ID","1"
"RSMDB","dbo","AccountsLevels","PK__AccountsLevels__2DB35E9C","AccountsLevelsid","1"
"RSMDB","dbo","AccountsLevelsDetails","PK__AccountsLevelsDe__2F9BA70E","id","1"
"RSMDB","dbo","AgengItem_type","PK__AgengItem_type__507E4343","id","1"
"RSMDB","dbo","aixTable","PK__aixTable__698091E5","ID","1"
"RSMDB","dbo","ApprovalData","PK__ApprovalData__02159ED7","id","1"
"RSMDB","dbo","AqarRquestAndQutaion","PK__AqarRque__3214EC27235AA1DB","ID","1"
"RSMDB","dbo","Arrows","PK__Arrows__55AB7606","ArrowsID","1"
"RSMDB","dbo","ArrowsCompanies","PK__ArrowsCompanies__79E8D67C","CompanyId","1"
"RSMDB","dbo","ArrowsGroup","PK__ArrowsGroup__66D60208","GroupID","1"
"RSMDB","dbo","ArrowsTransactions","PK__ArrowsTransactio__21F6C7D6","OprId","1"
"RSMDB","dbo","BalanceSheetReport","PK__BalanceSheetRepo__4F88885C","id","1"
"RSMDB","dbo","BalanceSheetView","PK__BalanceSheetView__4AF8DD69","BalanceSheetId","1"
"RSMDB","dbo","BalanceSheetViewAccounts","PK__BalanceSheetView__6D4DF56D","Id","1"
"RSMDB","dbo","BanksData","PK_BanksData","BankID","1"
"RSMDB","dbo","Bockets","PK__Bockets__6C8EDB5E","BocketId","1"
"RSMDB","dbo","ChequePrint","PK_ChequePrint","Id","1"
"RSMDB","dbo","ClassCustomers","PK__ClassCustomers__055DB684","ID","1"
"RSMDB","dbo","CLYTable","PK__CLYTable__67984973","ID","1"
"RSMDB","dbo","Coding","PK_Coding","id","1"
"RSMDB","dbo","ConflictTest","PK__ConflictTest__4E3E9311","ID","1"
"RSMDB","dbo","ContainerContracts","PK__ContainerContrac__6E5A559B","ID","1"
"RSMDB","dbo","ContainerContractsDet","PK__ContainerContrac__70429E0D","ID","1"
"RSMDB","dbo","ContainerContractsRec","PK__ContainerContrac__722AE67F","ID","1"
"RSMDB","dbo","ContainerContractsRecDet","PK__ContainerContrac__74132EF1","ID","1"
"RSMDB","dbo","ContainerUnloading","PK__ContainerUnloadi__56D7D1C5","ID","1"
"RSMDB","dbo","Contract","PK__Contract__1FC39B4A","Contract_ID","1"
"RSMDB","dbo","contract_type","PK_contract_type","id","1"
"RSMDB","dbo","ContracttBillInstallmentsDone","PK__ContracttBillIns__317A9936","id","1"
"RSMDB","dbo","CostCenter","PK__CostCenter__2917FB5A","GroupID","1"
"RSMDB","dbo","Create_field","PK__Create_field__12EBF075","ID","1"
"RSMDB","dbo","Create_Table","PK__Create_Table__1103A803","ID","1"
"RSMDB","dbo","CusJuncItem","PK_CusJuncItem","ID","1"
"RSMDB","dbo","CustomersFollow","PK__CustomersFollow__304FD425","id","1"
